player_name,matches,innings,not_outs,runs,balls_faced,average,strike_rate,hundreds,fifties,fours,sixes
SE Rutherford,5,5,2,120,81,40.0,148.15,0,1,5,9
SI Kamea,1,1,1,1,1,,100.0,0,0,0,0
SJ Baard,8,8,0,146,155,18.25,94.19,0,0,11,2
SJ Myburgh,7,7,0,129,116,18.43,111.21,0,0,21,1
SK Atai,3,3,0,5,10,1.67,50.0,0,0,0,0
SK Raina,4,4,0,41,33,10.25,124.24,0,0,2,2
SM Curran,4,4,2,24,25,12.0,96.0,0,0,1,1
SM Sharif,3,3,1,9,6,4.5,150.0,0,0,0,1
SN Netravalkar,2,2,0,0,5,0.0,0.0,0,0,0,0
SN Thakur,1,1,0,0,3,0.0,0.0,0,0,0,0
SO Hetmyer,5,5,1,127,100,31.75,127.0,0,1,13,4
SPD Smith,8,8,2,152,140,25.33,108.57,0,1,14,1
SR Taylor,6,6,0,74,82,12.33,90.24,0,0,7,3
SR Watson,4,4,2,96,64,48.0,150.0,0,0,9,4
SSJ Brooks,2,2,0,4,12,2.0,33.33,0,0,0,0
Saad Bin Zafar,2,2,1,11,22,11.0,50.0,0,0,1,0
Sabbir Rahman,7,7,1,147,119,24.5,123.53,0,0,17,4
Saim Ayub,2,2,0,23,29,11.5,79.31,0,0,2,1
Sandeep Goud,2,2,0,9,16,4.5,56.25,0,0,0,0
Sarfraz Ahmed,3,3,2,21,17,21.0,123.53,0,0,1,0
Shadab Khan,8,9,2,145,95,20.71,152.63,0,1,8,8
Shaheen Shah Afridi,6,6,4,58,34,29.0,170.59,0,0,3,5
Shahid Afridi,4,4,0,90,49,22.5,183.67,0,0,7,7
Shakeel Ahmed,3,3,1,25,21,12.5,119.05,0,0,3,0
Shakib Al Hasan,23,23,3,415,371,20.75,111.86,0,2,35,9
Shamim Hossain,2,2,0,30,38,15.0,78.95,0,0,1,1
Shan Masood,7,7,3,175,148,43.75,118.24,0,1,12,1
Shariz Ahmad,2,2,1,25,19,25.0,131.58,0,0,3,0
Sharjeel Khan,4,4,0,112,78,28.0,143.59,0,0,18,3
Shayan Jahangir,2,2,0,3,10,1.5,30.0,0,0,0,0
Shoaib Khan,2,2,0,11,27,5.5,40.74,0,0,1,0
Shoaib Malik,7,7,5,177,98,88.5,180.61,0,1,10,10
Shoriful Islam,1,1,0,0,2,0.0,0.0,0,0,0,0
Shuvagata Hom,3,3,2,29,28,29.0,103.57,0,0,3,1
Sikandar Raza,9,9,0,228,157,25.33,145.22,0,1,17,11
Simi Singh,4,4,3,17,22,17.0,77.27,0,0,1,0
