player_name,matches_bat,innings,not_outs,runs,balls_faced,bat_avg,bat_sr,hundreds,fifties,fours,sixes,matches_bowl,overs,balls_bowled,runs_conceded,wickets,bowl_avg,economy,bowl_sr,four_wickets,five_wickets
BJ McMullen,3.0,3.0,1.0,140.0,82.0,70.0,170.73,0.0,2.0,13.0,8.0,,,,,,,,,,
BKG Mendis,10.0,10.0,1.0,273.0,196.0,30.33,139.29,0.0,2.0,23.0,9.0,,,,,,,,,,
BM Scholtz,4.0,4.0,2.0,7.0,9.0,3.5,77.78,0.0,0.0,0.0,0.0,12.0,38.5,231.0,241.0,10.0,24.1,6.26,23.1,0.0,0.0
BN Cooper,3.0,3.0,0.0,29.0,24.0,9.67,120.83,0.0,0.0,5.0,0.0,,,,,,,,,,
BTJ Wheal,2.0,2.0,2.0,3.0,5.0,,60.0,0.0,0.0,0.0,0.0,13.0,47.5,285.0,375.0,17.0,22.06,7.89,16.76,0.0,0.0
Babar Azam,16.0,16.0,2.0,498.0,446.0,35.57,111.66,0.0,4.0,45.0,8.0,,,,,,,,,,
Babar Hayat,1.0,1.0,0.0,15.0,10.0,15.0,150.0,0.0,0.0,3.0,0.0,,,,,,,,,,
Basil Hameed,3.0,3.0,1.0,31.0,24.0,15.5,129.17,0.0,0.0,3.0,2.0,3.0,5.0,30.0,40.0,3.0,13.33,8.0,10.0,0.0,0.0
Bilal Khan,6.0,6.0,5.0,4.0,7.0,4.0,57.14,0.0,0.0,0.0,0.0,9.0,33.33,200.0,233.0,9.0,25.89,6.99,22.22,0.0,0.0
C Campher,12.0,12.0,2.0,184.0,146.0,18.4,126.03,0.0,1.0,17.0,3.0,10.0,26.5,159.0,194.0,10.0,19.4,7.32,15.9,1.0,0.0
C Karunaratne,11.0,11.0,4.0,51.0,57.0,7.29,89.47,0.0,0.0,4.0,0.0,14.0,42.5,255.0,313.0,9.0,34.78,7.36,28.33,0.0,0.0
C Kyewuta,2.0,2.0,0.0,2.0,12.0,1.0,16.67,0.0,0.0,0.0,0.0,3.0,10.17,61.0,82.0,3.0,27.33,8.07,20.33,0.0,0.0
C Munro,5.0,5.0,0.0,118.0,103.0,23.6,114.56,0.0,0.0,11.0,4.0,,,,,,,,,,
CA Soper,5.0,5.0,0.0,42.0,49.0,8.4,85.71,0.0,0.0,2.0,2.0,5.0,16.5,99.0,124.0,5.0,24.8,7.52,19.8,0.0,0.0
CA Young,2.0,2.0,1.0,2.0,7.0,2.0,28.57,0.0,0.0,0.0,0.0,4.0,14.0,84.0,101.0,2.0,50.5,7.21,42.0,0.0,0.0
CAK Rajitha,1.0,1.0,1.0,8.0,21.0,,38.1,0.0,0.0,0.0,0.0,2.0,7.83,47.0,64.0,2.0,32.0,8.17,23.5,0.0,0.0
CB Sole,,,,,,,,,,,,3.0,10.5,63.0,98.0,2.0,49.0,9.33,31.5,0.0,0.0
CBRLS Kumara,3.0,3.0,1.0,5.0,8.0,2.5,62.5,0.0,0.0,1.0,0.0,12.0,43.33,260.0,337.0,13.0,25.92,7.78,20.0,0.0,0.0
CD Wallace,1.0,1.0,0.0,4.0,13.0,4.0,30.77,0.0,0.0,0.0,0.0,,,,,,,,,,
CD de Lange,,,,,,,,,,,,1.0,4.0,24.0,19.0,1.0,19.0,4.75,24.0,0.0,0.0
CG Williams,7.0,7.0,0.0,118.0,137.0,16.86,86.13,0.0,0.0,9.0,4.0,,,,,,,,,,
CH Gayle,9.0,9.0,1.0,158.0,107.0,19.75,147.66,1.0,1.0,11.0,14.0,2.0,4.33,26.0,24.0,3.0,8.0,5.54,8.67,0.0,0.0
CH Morris,1.0,1.0,1.0,16.0,17.0,,94.12,0.0,0.0,2.0,0.0,2.0,7.83,47.0,78.0,1.0,78.0,9.96,47.0,0.0,0.0
CJ Anderson,10.0,10.0,1.0,152.0,160.0,16.89,95.0,0.0,0.0,9.0,4.0,9.0,20.33,122.0,164.0,3.0,54.67,8.07,40.67,0.0,0.0
CJ Jordan,5.0,5.0,2.0,19.0,25.0,6.33,76.0,0.0,0.0,2.0,0.0,18.0,63.33,380.0,505.0,26.0,19.42,7.97,14.62,2.0,0.0
CJA Amini,6.0,6.0,0.0,73.0,84.0,12.17,86.9,0.0,0.0,6.0,1.0,6.0,12.17,73.0,102.0,0.0,,8.38,,0.0,0.0
CK Kapugedera,3.0,3.0,0.0,40.0,44.0,13.33,90.91,0.0,0.0,3.0,1.0,,,,,,,,,,
CN Ackermann,11.0,11.0,1.0,222.0,206.0,22.2,107.77,0.0,1.0,16.0,6.0,4.0,10.17,61.0,71.0,2.0,35.5,6.98,30.5,0.0,0.0
CN Greaves,10.0,10.0,5.0,117.0,123.0,23.4,95.12,0.0,0.0,8.0,2.0,11.0,27.33,164.0,209.0,8.0,26.12,7.65,20.5,0.0,0.0
CP Rizwan,3.0,3.0,1.0,45.0,34.0,22.5,132.35,0.0,0.0,3.0,1.0,,,,,,,,,,
CR Brathwaite,2.0,2.0,2.0,44.0,20.0,,220.0,0.0,0.0,1.0,5.0,5.0,16.67,100.0,128.0,4.0,32.0,7.68,25.0,0.0,0.0
CR Ervine,7.0,7.0,0.0,112.0,125.0,16.0,89.6,0.0,1.0,13.0,0.0,,,,,,,,,,
CR Woakes,2.0,2.0,1.0,12.0,6.0,12.0,200.0,0.0,0.0,1.0,1.0,11.0,38.17,229.0,307.0,11.0,27.91,8.04,20.82,0.0,0.0
CS MacLeod,8.0,8.0,0.0,91.0,113.0,11.38,80.53,0.0,0.0,6.0,0.0,1.0,1.0,6.0,11.0,0.0,,11.0,,0.0,0.0
CV Varun,,,,,,,,,,,,3.0,11.17,67.0,72.0,0.0,,6.45,,0.0,0.0
Chirag Suri,2.0,2.0,0.0,26.0,39.0,13.0,66.67,0.0,0.0,4.0,0.0,,,,,,,,,,
