match_id,inning_no,batting_team,bowling_team,over,ball_in_over,batter,bowler,non_striker,runs_batter,runs_extras,runs_total,is_wicket,wicket_player_out,wicket_kind,wicket_fielder,extras_type,commentary_short,commentary
1415721,2,Bangladesh,South Africa,17,3,Jaker Ali,K Rabada,Mahmudullah,0,0,0,0,,,,,"Rabada to Jaker Ali, no run, good length outside off, punched straight to backward point","Rabada to Jaker Ali, no run, good length outside off, punched straight to backward point"
1415721,2,Bangladesh,South Africa,17,4,Jaker Ali,K Rabada,Mahmudullah,0,0,0,0,,,,,"Rabada to Jaker Ali, no run, full outside off, Jaker Ali gets across and mistimes the drive to the left of mid-on","Rabada to Jaker Ali, no run, full outside off, Jaker Ali gets across and mistimes the drive to the left of mid-on"
1415721,2,Bangladesh,South Africa,17,5,Jaker Ali,K Rabada,Mahmudullah,1,0,1,0,,,,,"Rabada to Jaker Ali, 1 run, pitched up outside off, Jaker Ali drills to the left of mid-off and rushes through for a qui","Rabada to Jaker Ali, 1 run, pitched up outside off, Jaker Ali drills to the left of mid-off and rushes through for a quick single. A direct hit at the bowling end would have been interesting, not to be..."
1415721,2,Bangladesh,South Africa,17,6,Mahmudullah,K Rabada,Jaker Ali,1,0,1,0,,,,,"Rabada to Mahmudullah, 1 run, Mahmudullah punches this to long-on and retains strike. A needless direct hit at the batti","Rabada to Mahmudullah, 1 run, Mahmudullah punches this to long-on and retains strike. A needless direct hit at the batting end, but Mahmudullah was never interested in nabbing an extra run. His priority is to keep strike for the next over..."
1415721,2,Bangladesh,South Africa,18,1,Mahmudullah,OEG Baartman,Jaker Ali,0,0,0,0,,,,,"Ottneil Baartman to Mahmudullah, no run, the pressure mounts. Ottneil Baartman perhaps expected Mahmudullah to run down ","Ottneil Baartman to Mahmudullah, no run, the pressure mounts. Ottneil Baartman perhaps expected Mahmudullah to run down the pitch and made sure the length was short sans any pace. A swing and a miss for Bangladesh's most-trusted finisher in white ball cricket"
1415721,2,Bangladesh,South Africa,18,2,Mahmudullah,OEG Baartman,Jaker Ali,1,0,1,0,,,,,"Ottneil Baartman to Mahmudullah, 1 run, and now he manages to pinch a single as he tucks the length delivery into the mi","Ottneil Baartman to Mahmudullah, 1 run, and now he manages to pinch a single as he tucks the length delivery into the mid-wicket pocket"
1415721,2,Bangladesh,South Africa,18,3,Jaker Ali,OEG Baartman,Mahmudullah,2,0,2,0,,,,,"Ottneil Baartman to Jaker Ali, 2 runs, a slog that's good enough to fetch a couple of runs and Bangladesh are not compla","Ottneil Baartman to Jaker Ali, 2 runs, a slog that's good enough to fetch a couple of runs and Bangladesh are not complaining. Slower full delivery on off, Jaker Ali heaves into the vacant spaces at mid-wicket and comes hustling back to complete the second"
1415721,2,Bangladesh,South Africa,18,4,Jaker Ali,OEG Baartman,Mahmudullah,1,0,1,0,,,,,"Ottneil Baartman to Jaker Ali, 1 run, Another attempted slog and Jaker Ali lost his shape while doing so, off the thick ","Ottneil Baartman to Jaker Ali, 1 run, Another attempted slog and Jaker Ali lost his shape while doing so, off the thick inside half and rolls square on the leg-side"
1415721,2,Bangladesh,South Africa,18,5,Mahmudullah,OEG Baartman,Jaker Ali,1,0,1,0,,,,,"Ottneil Baartman to Mahmudullah, 1 run, no room outside off and Mahmudullah's flick can't beat the fielder at short fine","Ottneil Baartman to Mahmudullah, 1 run, no room outside off and Mahmudullah's flick can't beat the fielder at short fine to his right"
1415721,2,Bangladesh,South Africa,18,6,Jaker Ali,OEG Baartman,Mahmudullah,2,0,2,0,,,,,"Ottneil Baartman to Jaker Ali, 2 runs, Ottneil Baartman drags the length back and keeps it around off stump, Jaker Ali h","Ottneil Baartman to Jaker Ali, 2 runs, Ottneil Baartman drags the length back and keeps it around off stump, Jaker Ali heaves it off the inside half into the mid-wicket region and once again they nab a double"
1415721,2,Bangladesh,South Africa,19,1,Mahmudullah,KA Maharaj,Jaker Ali,0,1,1,0,,,,wides,"Maharaj to Mahmudullah, 1 run, makes room and stabs the quicker delivery off the thick inside edge to the right of squar","Maharaj to Mahmudullah, 1 run, makes room and stabs the quicker delivery off the thick inside edge to the right of square leg. Only a single"
1415721,2,Bangladesh,South Africa,19,2,Mahmudullah,KA Maharaj,Jaker Ali,1,0,1,0,,,,,"Maharaj to Mahmudullah, , full and drifting down leg, Mahmudullah keeps his cool and lets it pass","Maharaj to Mahmudullah, , full and drifting down leg, Mahmudullah keeps his cool and lets it pass"
1415721,2,Bangladesh,South Africa,19,3,Jaker Ali,KA Maharaj,Mahmudullah,2,0,2,0,,,,,"Maharaj to Jaker Ali, 2 runs, A juicy full toss outside off and Jaker Ali slaps it to the left of Markram at long-on. It","Maharaj to Jaker Ali, 2 runs, A juicy full toss outside off and Jaker Ali slaps it to the left of Markram at long-on. It's a sand-based outfield and on-the-bounce throw from Markram meant it kept low and Maharaj couldn't gather it cleanly. Mahmudullah wasn't even in the frame..."
1415721,2,Bangladesh,South Africa,19,4,Jaker Ali,KA Maharaj,Mahmudullah,0,0,0,1,Jaker Ali,caught,AK Markram,,"Maharaj to Jaker Ali, Caught by Markram!! That is catching practice for the Protean skipper. Jaker Ali charges out in se","Maharaj to Jaker Ali, Caught by Markram!! That is catching practice for the Protean skipper. Jaker Ali charges out in search of a big hit, but miscues the loft completely off the thick inside half. Didn't get enough height and elevation, only to find the lurking long-on fielder to his right."
1415721,2,Bangladesh,South Africa,19,5,Rishad Hossain,KA Maharaj,Mahmudullah,0,1,1,0,,,,legbyes,"Maharaj to Rishad Hossain, leg byes, 1 run, floats it full outside off, Rishad Hossain gets a long way across looking fo","Maharaj to Rishad Hossain, leg byes, 1 run, floats it full outside off, Rishad Hossain gets a long way across looking for a sweep and misses it completely. Deflects off the front pad to the leg-side and the batters steal a quick single..."
1415721,2,Bangladesh,South Africa,19,6,Mahmudullah,KA Maharaj,Rishad Hossain,0,0,0,1,Mahmudullah,caught,AK Markram,,"Maharaj to Mahmudullah, Caught by Markram!! Mahmudullah doesn't want to leave. He stands stunned after seeing the South ","Maharaj to Mahmudullah, Caught by Markram!! Mahmudullah doesn't want to leave. He stands stunned after seeing the South African skipper pull off an excellent boundary-flirting catch. A low full toss from Maharaj and Mahmudullah tonked it really hard straight down the ground. Markram shows excellent awareness as he runs back to his left to take a high-pressure catch well above his head. Had he missed it, that would have been game over."
