batter,bowler,balls,runs_scored,wickets,cnt_0,cnt_1,cnt_2,cnt_3,cnt_4,cnt_6,prob_0,prob_1,prob_2,prob_3,prob_4,prob_6,prob_W,expected_runs,strike_rate
AD Hales,HMRKB Herath,4,0,1,4,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
AD Hales,IS Sodhi,8,6,0,2,6,0,0,0,0,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.75,75.0
AD Hales,J Little,4,6,1,2,0,1,0,1,0,0.5,0.0,0.25,0.0,0.25,0.0,0.25,1.5,150.0
AD Hales,JE Taylor,5,1,0,4,1,0,0,0,0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.2,20.0
AD Hales,KJ Abbott,3,4,1,2,0,0,0,1,0,0.6667,0.0,0.0,0.0,0.3333,0.0,0.3333,1.3333,133.33
AD Hales,LH Ferguson,3,2,0,1,2,0,0,0,0,0.3333,0.6667,0.0,0.0,0.0,0.0,0.0,0.6667,66.67
AD Hales,M Theekshana,6,3,0,4,1,1,0,0,0,0.6667,0.1667,0.1667,0.0,0.0,0.0,0.0,0.5,50.0
AD Hales,MJ McClenaghan,5,9,0,1,3,0,0,0,1,0.2,0.6,0.0,0.0,0.0,0.2,0.0,1.8,180.0
AD Hales,MJ Santner,17,15,2,10,3,2,0,2,0,0.5882,0.1765,0.1176,0.0,0.1176,0.0,0.1176,0.8824,88.24
AD Hales,MR Adair,1,1,0,0,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
AD Hales,Mohammed Shami,8,16,0,3,2,0,0,2,1,0.375,0.25,0.0,0.0,0.25,0.125,0.0,2.0,200.0
AD Hales,PWH de Silva,6,2,1,4,2,0,0,0,0,0.6667,0.3333,0.0,0.0,0.0,0.0,0.1667,0.3333,33.33
AD Hales,R Ashwin,7,20,0,0,4,0,0,1,2,0.0,0.5714,0.0,0.0,0.1429,0.2857,0.0,2.8571,285.71
AD Hales,S Badree,10,16,0,3,4,0,0,3,0,0.3,0.4,0.0,0.0,0.3,0.0,0.0,1.6,160.0
AD Hales,SJ Benn,4,2,1,2,2,0,0,0,0,0.5,0.5,0.0,0.0,0.0,0.0,0.25,0.5,50.0
AD Hales,Shaheen Shah Afridi,2,1,1,1,1,0,0,0,0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,50.0
AD Hales,TA Boult,7,10,0,4,0,1,0,2,0,0.5714,0.0,0.1429,0.0,0.2857,0.0,0.0,1.4286,142.86
AD Hales,TG Southee,11,21,0,5,1,1,0,3,1,0.4545,0.0909,0.0909,0.0,0.2727,0.0909,0.0,1.9091,190.91
AD Mathews,A Nortje,7,1,1,6,1,0,0,0,0,0.8571,0.1429,0.0,0.0,0.0,0.0,0.1429,0.1429,14.29
AD Mathews,AD Russell,1,1,0,0,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
AD Mathews,AU Rashid,7,21,0,1,3,0,0,0,3,0.1429,0.4286,0.0,0.0,0.0,0.4286,0.0,3.0,300.0
AD Mathews,BA Stokes,17,13,0,9,5,2,0,1,0,0.5294,0.2941,0.1176,0.0,0.0588,0.0,0.0,0.7647,76.47
AD Mathews,BFW de Leede,8,15,0,2,1,4,0,0,1,0.25,0.125,0.5,0.0,0.0,0.125,0.0,1.875,187.5
AD Mathews,CJ Jordan,8,12,0,2,4,0,0,2,0,0.25,0.5,0.0,0.0,0.25,0.0,0.0,1.5,150.0
AD Mathews,CR Brathwaite,4,3,0,1,3,0,0,0,0,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.75,75.0
AD Mathews,DJ Bravo,11,9,1,4,5,2,0,0,0,0.3636,0.4545,0.1818,0.0,0.0,0.0,0.0909,0.8182,81.82
AD Mathews,DJ Willey,5,3,0,2,3,0,0,0,0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.6,60.0
AD Mathews,K Rabada,2,7,0,0,1,0,0,0,1,0.0,0.5,0.0,0.0,0.0,0.5,0.0,3.5,350.0
AD Mathews,KA Maharaj,6,7,0,4,1,0,0,0,1,0.6667,0.1667,0.0,0.0,0.0,0.1667,0.0,1.1667,116.67
AD Mathews,LE Plunkett,10,6,0,4,6,0,0,0,0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.6,60.0
AD Mathews,LV van Beek,2,3,0,0,1,1,0,0,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.5,150.0
AD Mathews,M Jansen,1,1,0,0,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
AD Mathews,MM Ali,7,18,0,0,4,1,0,0,2,0.0,0.5714,0.1429,0.0,0.0,0.2857,0.0,2.5714,257.14
AD Mathews,Mustafizur Rahman,2,1,0,1,1,0,0,0,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,50.0
AD Mathews,Rishad Hossain,5,3,0,2,3,0,0,0,0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.6,60.0
AD Mathews,S Badree,3,2,0,1,2,0,0,0,0,0.3333,0.6667,0.0,0.0,0.0,0.0,0.0,0.6667,66.67
AD Mathews,SJ Benn,13,5,0,8,5,0,0,0,0,0.6154,0.3846,0.0,0.0,0.0,0.0,0.0,0.3846,38.46
AD Mathews,TJG Pringle,5,12,0,1,2,0,0,1,1,0.2,0.4,0.0,0.0,0.2,0.2,0.0,2.4,240.0
AD Mathews,Tanzim Hasan Sakib,10,11,1,5,1,3,0,1,0,0.5,0.1,0.3,0.0,0.1,0.0,0.1,1.1,110.0
AD Mathews,Taskin Ahmed,2,1,0,1,1,0,0,0,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,50.0
AD Poynter,Bilal Khan,4,3,0,2,1,1,0,0,0,0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.75,75.0
AD Poynter,M Ansari,6,8,0,4,0,1,0,0,1,0.6667,0.0,0.1667,0.0,0.0,0.1667,0.0,1.3333,133.33
