batter,bowler,balls_with_commentary,avg_sentiment_score,boundary_pct,dot_pct,dominant_pct,controlled_pct,mistimed_pct,beaten_pct,defensive_pct,pressure_index
A Vala,AR Ramjani,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
A Vala,AS Joseph,4,0.25,0.25,0.75,0.25,0.0,0.0,0.0,0.75,-0.25
A Vala,Aqib Ilyas,13,0.2308,0.0,0.3846,0.0,0.6154,0.0,0.0769,0.3077,0.0769
A Vala,BTJ Wheal,1,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
A Vala,Bilal Khan,4,0.125,0.0,0.75,0.0,0.25,0.0,0.0,0.75,0.0
A Vala,JH Davey,2,0.25,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0
A Vala,Kaleemullah,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
A Vala,Khawar Ali,7,0.5,0.0,0.1429,0.0,1.0,0.0,0.0,0.0,0.0
A Vala,Mohammad Nadeem,7,0.4286,0.1429,0.2857,0.0,0.8571,0.0,0.0,0.1429,0.0
A Vala,Mohammad Saifuddin,5,0.4,0.0,0.2,0.0,0.8,0.0,0.0,0.2,0.0
A Vala,Mustafizur Rahman,2,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
A Vala,R Shepherd,2,-0.25,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
A Vala,RL Chase,5,0.0,0.0,0.8,0.0,0.4,0.0,0.2,0.4,0.2
A Vala,TA Boult,9,-0.1111,0.0,0.8889,0.0,0.1111,0.1111,0.1111,0.6667,0.2222
A Vala,TG Southee,5,-0.6,0.0,0.8,0.0,0.2,0.2,0.6,0.0,0.8
A Vala,Taskin Ahmed,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
A Vala,Zeeshan Maqsood,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0
A Zampa,CJ Jordan,3,-0.1667,0.0,0.6667,0.0,0.3333,0.0,0.3333,0.3333,0.3333
A Zampa,TA Boult,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
A Zampa,TS Mills,1,-1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
AC Agar,AU Rashid,4,0.25,0.0,0.75,0.0,0.5,0.0,0.0,0.5,0.0
AC Agar,CJ Jordan,3,0.0,0.0,0.3333,0.0,0.3333,0.3333,0.0,0.3333,0.3333
AC Agar,CR Woakes,3,0.1667,0.3333,0.3333,0.3333,0.3333,0.0,0.3333,0.0,0.0
